Player,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
Michael Wilson,3,94,ARI,WR,23,2023,0,0,0,6,6,13,0,0,0,0,0,0,0,0,38,565,3,,,,Stanford,College Stats,WilsMi02
Jordan Battle,3,95,CIN,DB,22,2023,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,43,1,2,Alabama,College Stats,BattJo00
Brodric Martin,3,96,DET,DT,24,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Western Kentucky,College Stats,MartBr00
Ricky Stromberg,3,97,WAS,OL,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats,StroRi01
Siaki Ika,3,98,CLE,DL,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats,IkaxSi00
Jake Moody,3,99,SFO,K,23,2023,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats,MoodJa00
Tre Tucker,3,100,LVR,WR,22,2023,0,0,0,3,3,16,0,0,0,0,0,10,77,0,19,331,2,2,,,Cincinnati,College Stats,TuckTr00
Cameron Latu,3,101,SFO,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,LatuCa01
Mekhi Blackmon,3,102,MIN,CB,24,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,34,1,,USC,College Stats,BlacMe00
Nick Saldiveri,4,103,NOR,OL,23,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Old Dominion,College Stats,SaldNi00
Jakorian Bennett,4,104,LVR,DB,23,2023,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,24,,,Maryland,College Stats,BennJa00
Kelee Ringo,4,105,PHI,DB,21,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,17,1,1,Georgia,College Stats,RingKe00
Blake Freeland,4,106,IND,OL,22,2023,0,0,0,5,5,16,0,0,0,0,0,0,0,0,0,0,0,,,,BYU,College Stats,FreeBl00
Jake Andrews,4,107,NWE,OL,23,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Troy,College Stats,AndrJa00
Anthony Bradford,4,108,SEA,OL,22,2023,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats,BradAn00
